id rec_channel     rec_auth
97  0.612088976 6.120890e-01
98  0.803190227 8.031902e-01
99  0.938295781 2.929085e-02
100 0.912338210 8.560431e-01
101 0.000000000 1.943179e-01
102 0.999936634 9.999366e-01
103 0.999932488 9.999325e-01
104 0.933731403 9.337314e-01
105 0.734045957 7.340460e-01
106 0.830268123 8.302681e-01
107 0.703306364 7.033064e-01
108 0.812133774 8.121338e-01
109 0.937903549 0.000000e+00
110 0.957511575 9.575116e-01
111 0.402999995 4.030000e-01
112 0.460895938 4.139092e-01
113 0.999947885 9.999479e-01
114 0.998211886 9.982119e-01
115 0.000000000 2.646885e-02
116 0.749315315 7.493153e-01
117 0.999926566 9.999266e-01
118 0.058653715 5.865372e-02
119 0.999889852 9.998899e-01
120 0.999945516 9.999455e-01
121 0.935553597 9.355536e-01
122 0.871624593 1.139885e-01
123 0.996506637 2.801006e-01
124 0.999889852 9.998899e-01
125 0.414650655 4.146507e-01
126 0.738916598 2.660968e-01
127 0.701710414 7.017104e-01
128 0.999964467 9.999645e-01
129 0.838521888 8.385219e-01
130 0.862379769 8.623798e-01
131 0.791842648 7.918426e-01
132 0.791441796 7.914418e-01
133 0.970936536 9.709365e-01
134 0.002660054 2.660054e-03
135 0.999939594 9.999396e-01
136 0.999923605 9.999236e-01
137 0.887392999 8.873930e-01
138 0.999953807 4.124831e-02
139 0.051688482 3.192080e-02
140 0.600644906 6.006449e-01
141 0.999950254 9.999503e-01
142 0.862071856 8.620719e-01
143 0.944379058 9.443791e-01
144 0.999970389 9.999704e-01
145 0.999975127 9.999751e-01
146 0.999976903 9.999769e-01
147 0.709448768 7.094488e-01
148 0.998262136 9.982621e-01
149 0.856755687 8.567557e-01
150 0.855807383 8.558074e-01
151 0.779681875 7.796819e-01
152 0.000000000 2.350344e-02
153 0.999970389 9.999704e-01
154 0.806845977 5.145090e-02
155 0.862778738 8.627787e-01
156 0.372688452 3.726885e-01
157 0.806317662 8.063177e-01
158 0.229971829 2.299612e-01
159 0.822637666 8.226377e-01
160 0.005415767 6.427981e-01
161 0.859427221 3.968386e-01
162 0.773570221 7.735702e-01
163 0.571459007 4.911274e-01
164 0.999792149 9.997921e-01
165 0.000000000 9.032471e-02
166 0.934230326 5.337634e-01
167 0.308360612 6.201326e-01
168 0.711404765 7.114048e-01
169 0.999633478 9.996335e-01
170 0.891199213 5.920881e-01
171 0.953229624 8.495175e-01
172 0.195159021 0.000000e+00
173 0.999947293 9.999473e-01
174 0.725459065 0.000000e+00
175 0.999953215 9.999532e-01
176 0.264839505 4.270691e-01
177 0.999802807 9.998028e-01
178 0.999853138 9.998531e-01
179 0.822396542 5.686845e-01
180 0.997638025 8.204541e-01
181 0.901924139 9.019241e-01
182 0.843290308 8.432903e-01
183 0.743983445 7.439834e-01
184 0.999911762 9.999118e-01
185 0.000000000 3.757782e-07
186 0.999872679 9.998727e-01
187 0.999966244 9.999662e-01
188 0.999920645 9.999206e-01
189 0.608267913 5.473157e-01
190 0.661131046 6.611310e-01
191 0.731846084 4.451585e-01
192 0.137697214 1.376972e-01
193 1.000000000 1.000000e+00
194 0.999999408 9.999994e-01
195 0.707856486 7.078565e-01
196 0.226608789 2.266088e-01
197 0.932790148 9.327901e-01
198 0.105725071 9.042957e-01
199 0.568613115 5.686131e-01
200 0.999953807 9.999538e-01
201 0.999861428 9.998614e-01
202 0.987510374 4.108640e-01
203 0.861571158 8.615712e-01
204 0.812340617 8.123406e-01
205 0.999872679 9.998727e-01
206 0.913997938 9.139979e-01
207 0.547378268 3.457391e-01
208 0.236719931 2.367199e-01
209 0.994744209 9.947442e-01
210 0.999962098 9.999621e-01
211 0.999892220 9.998922e-01
212 0.929697838 9.296978e-01
213 0.920477373 9.204774e-01
214 0.999988748 9.999887e-01
215 0.660522480 6.605225e-01
216 0.514185536 5.141855e-01
217 0.849092973 8.490930e-01
218 0.957555241 9.575552e-01
219 0.941492517 2.368433e-01
220 0.042488520 4.248852e-02
221 0.338341642 3.383416e-01
222 0.000000000 3.038910e-02
