id fraud_flag transfer_id  timestamp orig_account_id benef_account_id
52           0   xtr141448  96.205625       X51735094        X93192042
53           0   xtr146954  96.207558       X51735094        X58233569
54           0   xtr622883  98.245880       X51735094        X39509284
55           0   xtr831355 104.211100       X96278924        X94397731
56           0   xtr532207 104.211829       X96278924        X40264579
57           0   xtr534810 104.212442       X96278924        X40264579
58           0   xtr519726 104.213368       X96278924        X41549476
59           0   xtr925008 105.379016       X64608297        X31174692
60           0   xtr701238 105.379988       X64608297        X80234603
61           0   xtr470468 107.971759       X96278924        X93192042
62           0   xtr257612 109.269259       X51735094        X18544316
63           0   xtr911700 112.880880       X96278924        X76932175
64           0   xtr771909 112.943056       X96278924        X97636029
65           0   xtr500060 112.943958       X96278924        X94397731
66           0   xtr152675 115.370498       X64608297        X95653232
67           0   xtr428401 115.371887       X64608297        X58074368
68           0   xtr465242 122.118924       X96278924        X91645162
69           0   xtr949643 122.316458       X96278924        X79857077
70           0   xtr848720 123.397326       X96278924        X81527412
71           1   xtr907138 123.890648       X51735094        X23634843
72           0   xtr336037 136.399329       X96278924        X32992876
73           0   xtr116760 136.400856       X96278924        X76863683
74           0   xtr907555 136.402963       X96278924        X83977418
75           0   xtr423594 137.216435       X96278924        X47932928
76           0   xtr191258 139.908912       X96278924        X93192042
77           0   xtr490116 142.133669       X96278924        X91645162
78           0   xtr951517 143.055926       X96278924        X68018233
79           0   xtr964733 147.972766       X96278924        X76932175
80           0   xtr602130 150.016215       X96278924        X35139993
81           0   xtr199321 150.492998       X64608297        X98872203
82           0   xtr311978 155.946262       X98390105        X53422917
83           0   xtr553925 156.155648       X96278924        X77467022
84           0   xtr560082 163.956354       X64608297        X41549476
85           0   xtr243340 166.981111       X96278924        X33409071
86           0   xtr752181 168.074850       X96278924        X44444693
87           0   xtr756088 170.159988       X96278924        X93192042
88           0   xtr337000 171.011620       X98390105        X61279665
89           0   xtr751176 171.957477       X96278924        X91645162
90           0   xtr860174 175.943831       X64608297        X41549476
91           0   xtr337307 175.945093       X64608297        X80234603
92           0   xtr558421 177.233773       X96278924        X31147956
93           0   xtr936516 177.235359       X96278924        X97636029
94           0   xtr675105 177.269676       X96278924        X30845392
95           0   xtr279725 177.272257       X96278924        X77467022
96           0   xtr810479 177.273160       X96278924        X91645162
97           0   xtr245456 186.866505       X96278924        X20399067
98           0   xtr455919 191.149676       X96278924        X35563805
99           0   xtr182179 192.394387       X96278924        X75176667
100          0   xtr345736 194.187373       X96278924        X97636029
101          0   xtr809290 195.973275       X64608297        X98589933
102          0   xtr960361 195.974514       X64608297        X95653232
103          0   xtr213943 195.975833       X64608297        X39483671
104          0   xtr110949 197.315845       X64608297        X17738221
105          0   xtr231053 200.229826       X96278924        X93192042
106          0   xtr849477 203.865000       X96278924        X45435555
107          0   xtr743848 204.194340       X64608297        X95653232
108          0   xtr995537 207.931759       X96278924        X41549476
109          0   xtr234890 209.184641       X96278924        X78979904
110          0   xtr564939 210.033160       X96278924        X81045721
111          0   xtr793526 221.955613       X64608297        X98589933
112          0   xtr690241 225.171030       X96278924        X76932175
113          0   xtr147172 225.172049       X96278924        X64783449
114          0   xtr881215 225.207025       X96278924        X77467022
115          0   xtr380668 226.923183       X98390105        X98978421
116          0   xtr977348 230.847118       X96278924        X56011266
117          0   xtr690791 230.848553       X96278924        X56011266
118          0   xtr945306 231.371794       X64608297        X58297042
119          0   xtr509431 231.373947       X64608297        X67176406
120          0   xtr673262 231.375012       X64608297        X41549476
121          0   xtr395982 232.150463       X96278924        X93192042
122          0   xtr876068 234.835637       X96278924        X64783449
123          0   xtr869263 234.904028       X96278924        X97636029
124          0   xtr763277 234.906181       X96278924        X35139993
125          0   xtr267277 252.110475       X96278924        X20399067
126          0   xtr905068 258.023681       X96278924        X80935017
127          0   xtr948958 264.946574       X96278924        X93192042
128          0   xtr904675 264.947269       X96278924        X97636029
129          0   xtr866686 268.389120       X96278924        X26412927
130          0   xtr213254 271.282685       X96278924        X19992017
131          0   xtr897078 275.843935       X96278924        X35289634
132          0   xtr124646 280.415081       X96278924        X87278227
133          0   xtr266866 280.991493       X96278924        X39335656
134          0   xtr246610 286.891551       X98390105        X45391134
135          0   xtr594680 286.892731       X98390105        X45391134
136          0   xtr717550 286.894225       X98390105        X88087082
137          0   xtr754459 289.229005       X98390105        X23464562
138          0   xtr215027 289.229907       X98390105        X74704643
139          0   xtr186172 289.272292       X64608297        X95653232
140          0   xtr874465 290.953692       X96278924        X40264579
141          0   xtr819338 290.954664       X96278924        X97636029
142          0   xtr357980 293.855208       X96278924        X39335656
143          0   xtr880868 294.973623       X96278924        X76849034
144          0   xtr329405 294.974201       X96278924        X76849034
145          0   xtr564377 294.974688       X96278924        X76849034
146          0   xtr473116 294.975139       X96278924        X76849034
147          0   xtr362469 295.980845       X64608297        X95653232
148          0   xtr170951 296.014838       X64608297        X49586317
149          0   xtr680099 297.996574       X96278924        X35289634
150          0   xtr216683 301.039653       X96278924        X93192042
151          0   xtr201303 305.903368       X96278924        X91645162
152          0   xtr417704 308.134722       X96278924        X56011266
153          0   xtr774465 308.135301       X96278924        X56011266
154          0   xtr483839 310.097789       X96278924        X41549476
155          0   xtr266794 312.982315       X96278924        X53043477
156          0   xtr892452 315.304271       X64608297        X74262211
157          0   xtr821472 317.189537       X96278924        X61066843
158          0   xtr433797 317.954549       X98390105        X31470783
159          0   xtr606684 321.005150       X96278924        X31147956
160          0   xtr791389 323.940914       X64608297        X47066779
161          0   xtr314526 323.965741       X96278924        X93192042
162          0   xtr321030 328.958426       X64608297        X38726514
163          0   xtr785153 334.901412       X96278924        X97636029
164          0   xtr163993 334.905475       X96278924        X78979904
165          0   xtr305626 336.218611       X98390105        X53422917
166          0   xtr886792 336.235046       X96278924        X35139993
167          0   xtr576487 338.296620       X64608297        X41549476
168          0   xtr435320 342.889792       X96278924        X17253118
169          0   xtr265900 342.896956       X96278924        X35787561
170          0   xtr683991 345.148090       X96278924        X64783449
171          0   xtr109537 346.084201       X96278924        X99932896
172          0   xtr936401 349.887060       X98390105        X94397731
173          0   xtr190256 349.888090       X98390105        X74704643
174          0   xtr841741 352.356620       X96278924        X93192042
175          0   xtr701458 352.357535       X96278924        X77467022
176          0   xtr144573 354.924201       X64608297        X95653232
177          0   xtr532654 354.928056       X64608297        X46460597
178          0   xtr257501 354.930926       X64608297        X49586317
179          0   xtr629119 356.178877       X96278924        X91645162
180          0   xtr914403 356.225093       X96278924        X30845392
181          0   xtr895021 358.242442       X96278924        X57163239
182          0   xtr652617 358.261956       X64608297        X31174692
183          0   xtr710862 364.041609       X64608297        X95653232
184          0   xtr221933 364.043333       X64608297        X84272118
185          0   xtr212774 365.126181       X96278924        X11624708
186          0   xtr464704 365.128669       X96278924        X76213068
187          0   xtr126057 365.129329       X96278924        X12194404
188          0   xtr651647 365.130880       X96278924        X46460597
189          0   xtr851426 367.958171       X96278924        X71914071
190          0   xtr251439 372.130394       X64608297        X54781059
191          0   xtr388825 374.059282       X96278924        X64783449
192          0   xtr581193 374.966979       X98390105        X40616071
193          0   xtr832334 374.966979       X98390105        X53422917
194          0   xtr993823 374.966991       X98390105        X99394788
195          0   xtr781286 378.882859       X64608297        X84272118
196          0   xtr700065 378.900637       X98390105        X94397731
197          0   xtr375617 380.242581       X64608297        X95653232
198          1   xtr173224 382.208611       X64608297        X61352370
199          0   xtr183566 385.092523       X96278924        X93192042
200          0   xtr736451 385.093426       X96278924        X41549476
201          0   xtr188792 385.096134       X96278924        X26412927
202          0   xtr627475 385.341759       X96278924        X26412927
203          0   xtr592539 388.253657       X96278924        X78979904
204          0   xtr809565 392.315440       X96278924        X53043477
205          0   xtr714213 392.317928       X96278924        X21572305
206          0   xtr409171 394.075394       X96278924        X74682262
207          0   xtr104113 405.852454       X96278924        X39335656
208          0   xtr897605 407.060069       X98390105        X60888100
209          0   xtr205852 407.163056       X98390105        X45391134
210          0   xtr849807 407.163796       X98390105        X45391134
211          0   xtr175588 407.165903       X98390105        X45391134
212          0   xtr873301 407.277072       X96278924        X12194404
213          0   xtr551257 408.896481       X96278924        X99932896
214          0   xtr403286 408.896701       X96278924        X20399067
215          0   xtr920495 417.001759       X96278924        X99394788
216          0   xtr625554 420.165509       X98390105        X25350300
217          0   xtr124414 420.198773       X96278924        X52402114
218          0   xtr806835 421.046400       X96278924        X93192042
219          0   xtr122670 422.224641       X96278924        X39718491
220          1   xtr102935 426.858657       X96278924        X32768132
221          0   xtr710277 441.344514       X98390105        X90462741
222          1   xtr142625 443.244687       X98390105        X65617711
